Type,State,Name of Facility (consistent with State license where relevant),Provider Number,Street Address,Suburb,Postcode,Second-tier Eligible (Yes/No),Second-tier Expiry Date,"Second-tier Category - To facilitate calculation of second-tier default benefits by insurers, the department has categorised all declared private hospitals into the following categories:"
PUBLIC,QLD,CAIRNS BASE HOSPITAL,0050230T,165 THE ESPLANADE,CAIRNS,4870,NO,,
PRIVATE,QLD,CAIRNS DAY SURGERY,0887521H,156-160 GRAFTON STREET,CAIRNS,4870,YES,13-12-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,CAIRNS HAEMATOLOGY AND ONCOLOGY CLINIC,0057460K,4/5 UPWARD STREET,CAIRNS,4870,YES,03-08-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,CAIRNS PRIVATE HOSPITAL,0055220Y,1 UPWARD STREET,CAIRNS,4870,YES,13-12-22,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,QLD,CALOUNDRA HOSPITAL,0051500A,WEST TERRACE,CALOUNDRA,4551,NO,,
PRIVATE,QLD,CALOUNDRA PRIVATE CLINIC,0055810Y,96 BEERBURRUM STREET,CALOUNDRA,4551,YES,08-12-21,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,TAS,CALVARY - LENAH VALLEY HOSPITAL,0085010F,49 AUGUSTA ROAD,LENAH VALLEY,7008,YES,28-02-22,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,TAS,CALVARY - ST JOHN'S HOSPITAL,0085010F,30 CASCADE ROAD,SOUTH HOBART,7000,YES,28-02-22,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,TAS,CALVARY - ST LUKE'S HOSPITAL,0085080L,24 LYTTLETON STREET,LAUNCESTON,7250,YES,26-01-22,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,TAS,CALVARY - ST VINCENT'S HOSPITAL,0085080L,5 FREDERICK STREET,LAUNCESTON,7250,YES,26-01-22,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,SA,CALVARY ADELAIDE HOSPITAL,0065360T & 0065070B,120 ANGAS STREET,ADELAIDE,5000,YES,28-02-22,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,ACT,CALVARY BRUCE PRIVATE HOSPITAL,0015000J,30 & 50 MARY POTTER CIRCUIT ,BRUCE,2617,YES,09-09-23,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,SA,CALVARY CENTRAL DISTRICTS HOSPITAL,0065810F,25-37 JARVIS ROAD,ELIZABETH VALE,5112,YES,01-03-22,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PUBLIC,VIC,CALVARY HEALTH CARE BETHLEHEM,0031480Y,152 COMO PARADE WEST,PARKDALE,3195,NO,,
PUBLIC,NSW,CALVARY HEALTH CARE SYDNEY LTD,0012520J,91-101 ROCKY POINT ROAD,KOGARAH,2217,NO,,
PRIVATE,ACT,CALVARY JOHN JAMES HOSPITAL,0091010Y,175 STRICKLAND CRESCENT & 12 NAPIER CLOSE,DEAKIN,2600,YES,18-04-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,NSW,CALVARY MATER NEWCASTLE,0011870W,20 EDITH STREET,WARATAH,2298,NO,,
PRIVATE,SA,CALVARY NORTH ADELAIDE HOSPITAL,0065060F,89 STRANGWAYS TERRACE,NORTH ADELAIDE,5006,YES,28-02-22,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,ACT,CALVARY PUBLIC HOSPITAL ACT,0090040A,HAYDON DRIVE,BRUCE,2617,NO,,
PRIVATE,NSW,CALVARY RIVERINA HOSPITAL,0016860A,HARDY AVENUE,WAGGA WAGGA,2650,YES,21-12-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,NSW,CALVARY RIVERINA SURGICENTRE,0988261T,"329, 331, 333 EDWARD STREET",WAGGA WAGGA,2650,YES,21-12-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,WA,CAMBRIDGE DAY SURGERY,0075650K,178 CAMBRIDGE STREET,WEMBLEY,6014,YES,01-09-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,CAMDEN HOSPITAL,0010870B,65 MENANGLE ROAD,CAMDEN,2570,NO,,
PUBLIC,TAS,CAMPBELL TOWN HEALTH AND COMMUNITY SERVICE,0080100Y,70 HIGH STREET,CAMPBELL TOWN,7210,NO,,
PUBLIC,NSW,CAMPBELLTOWN HOSPITAL,0012750W,THERRY ROAD,CAMPBELLTOWN,2560,NO,,
PRIVATE,NSW,CAMPBELLTOWN PRIVATE HOSPITAL,0017290K,42 PARKSIDE CRESCENT,CAMPBELLTOWN,2560,YES,12-01-22,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PRIVATE,NSW,CAMPSIE DAY SURGERY,0027390L,56-58 CAMPSIE STREET,CAMPSIE,2194,YES,18-02-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,ACT,CANBERRA IMAGING GROUP,0097030L,173 STRICKLAND CRESCENT,DEAKIN,2600,YES,29-10-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,ACT,CANBERRA MICROSURGERY,0097050J,16 WILBOW STREET,PHILLIP,2606,YES,27-10-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,ACT,CANBERRA PRIVATE HOSPITAL,0095130B,70 KENT STREET,DEAKIN,2600,YES,16-05-21,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,ACT,CANBERRA SURGICENTRE,0988281K,"SUITE 2, SCALA HOUSE TORRENS, 11 TORRENS STREET",BRADDON,2612,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,WA,CANNINGTON DIALYSIS CLINIC ,0077240L,13-15 LEILA STREET,CANNINGTON,6107,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,CANOSSA PRIVATE HOSPITAL,0055580X,169 SEVENTEEN MILE ROCKS ROAD,OXLEY,4075,YES,19-07-21,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PUBLIC,NSW,CANOWINDRA SOLDIERS MEMORIAL HOSPITAL,0010890Y,BROWNS AVENUE,CANOWINDRA,2804,NO,,
PUBLIC,NSW,CANTERBURY HOSPITAL,0010090J,575 CANTERBURY ROAD,CAMPSIE,2194,NO,,
PUBLIC,QLD,CAPRICORN COAST HOSPITAL AND HEALTH SERVICE,0051390L,8 HOSKYN DRIVE,YEPPOON,4703,NO,,
PUBLIC,VIC,CARITAS CHRISTI HOSPICE,0030210H,104 STUDLEY PARK ROAD,KEW,3101,NO,,
PUBLIC,WA,CARNARVON HOSPITAL,0070160B,CLEAVER STREET,CARNARVON,6701,NO,,
PRIVATE,VIC,CASEY DAY PROCEDURE AND SPECIALIST CENTRE,0044040F,1A/30-32 VERDUN DRIVE,NARRE WARREN,3805,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,CASEY HOSPITAL,0031960F,52 KANGAN DRIVE,BERWICK,3806,NO,,
PUBLIC,NSW,CASINO AND DISTRICT MEMORIAL HOSPITAL,0010920J,41 HOTHAM STREET,CASINO,2470,NO,,
PUBLIC,VIC,CASTERTON MEMORIAL HOSPITAL,0030200J,63-69 RUSSELL STREET,CASTERTON,3311,NO,,
PRIVATE,NSW,CASTLECRAG PRIVATE HOSPITAL,0015200A,150 EDINBURGH ROAD,CASTLECRAG,2068,YES,10-05-23,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,VIC,CASTLEMAINE HEALTH,0031780J,142 CORNISH STREET,CASTLEMAINE,3450,NO,,
PUBLIC,VIC,CAULFIELD HOSPITAL,0031570X,260-294 KOOYONG ROAD,CAULFIELD,3162,NO,,
PUBLIC,SA,CEDUNA HOSPITAL,0060630F,3 EYRE HIGHWAY,CEDUNA,5690,NO,,
PRIVATE,NSW,CENTRAL COAST DAY HOSPITAL,0017370K,"SUITE 1, 2 ILYA AVENUE",ERINA,2250,YES,15-09-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,CENTRAL DAY SURGERY,0067220K,235 GREENHILL ROAD,DULWICH,5065,YES,10-09-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,CENTRAL GIPPSLAND HEALTH SERVICE (MAFFRA),0034620A,48 KENT STREET,MAFFRA,3860,NO,,
PUBLIC,VIC,CENTRAL GIPPSLAND HEALTH SERVICE (SALE),0030480H,155 GUTHRIDGE PARADE,SALE,3850,NO,,
PUBLIC,VIC,CENTRAL HIGHLANDS RURAL HEALTH - CRESWICK,0030300F,1 NAPIER STREET,CRESWICK,3363,NO,,
PUBLIC,VIC,CENTRAL HIGHLANDS RURAL HEALTH - DAYLESFORD,0030320A,13 HOSPITAL STREET,DAYLESFORD,3460,NO,,
PUBLIC,VIC,CENTRAL HIGHLANDS RURAL HEALTH - KYNETON,0030600T,7-25 CAROLINE CHISHOLM DRIVE,KYNETON,3444,NO,,
PRIVATE,NSW,CENTRE FOR DIGESTIVE DISEASES,0656741F,"LEVEL 1, 229 GREAT NORTH ROAD",FIVE DOCK,2046,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,CESSNOCK DISTRICT HOSPITAL,0010940F,24 VIEW STREET,CESSNOCK,2325,NO,,
PRIVATE,NSW,CHARLESTOWN PRIVATE HOSPITAL,0017400Y,"LEVEL 3, 250 PACIFIC HWY",CHARLESTOWN,2290,YES,04-05-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,QLD,CHARLEVILLE HOSPITAL,0050250K,72 KING STREET,CHARLEVILLE,4470,NO,,
PUBLIC,QLD,CHARTERS TOWERS HOSPITAL,0050260J,137-139 GILL STREET,CHARTERS TOWERS,4820,NO,,
PRIVATE,NSW,CHATSWOOD PRIVATE HOSPITAL,0017520L,SUITE 1/38B ALBERT AVENUE,CHATSWOOD,2067,YES,15-09-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,CHELSEA HEIGHTS DAY SURGERY AND ENDOSCOPY,0044090W,93 WELLS ROAD,CHELSEA HEIGHTS,3196,YES,12-10-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,QLD,CHERBOURG HOSPITAL,0050270H,FISHER STREET,CHERBOURG,4605,NO,,
PRIVATE,QLD,CHERMSIDE DAY HOSPITAL,0057330Y,"SUITE 9, CHERMSIDE MEDICAL COMPLEX, 956 GYMPIE ROAD",CHERMSIDE,4032,YES,04-11-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,CHERMSIDE DIALYSIS CLINIC,0057290L,671 GYMPIE ROAD,CHERMSIDE,4032,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,CHESTERVILLE DAY HOSPITAL,0656851Y,28 CHESTERVILLE ROAD,CHELTENHAM,3192,YES,29-09-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,QLD,CHILDERS MULTIPURPOSE HEALTH SERVICE,0050280F,44 BROADHURST STREET,CHILDERS,4660,NO,,
PUBLIC,QLD,CHINCHILLA HOSPITAL,0050300W,59 SLESSAR STREET,CHINCHILLA,4413,NO,,
PRIVATE,NSW,CHRIS O'BRIEN LIFEHOUSE,0027350Y,119-143 MISSENDEN ROAD,CAMPERDOWN,2050,YES,28-01-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,WA,CHURCHILL DAY SURGERY,0077140W,136 CHURCHILL AVENUE,SUBIACO,6008,YES,06-05-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,CITY WEST SPECIALIST DAY HOSPITAL,0894301F,30 MONS ROAD,WESTMEAD,2145,YES,30-07-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,SA,CLARE HOSPITAL,0060130B,47 FARRELL FLAT ROAD,CLARE,5453,NO,,
PUBLIC,QLD,CLERMONT MULTI-PURPOSE HEALTH SERVICE,0050310T,24 FRANCIS STREET,CLERMONT,4721,NO,,
PRIVATE,QLD,CLIFTON CO-OP HOSPITAL LTD,0055230X, NORMAN STREET,CLIFTON,4361,NO,,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,QLD,CLONCURRY MULTI-PURPOSE HEALTH SERVICE,0050320L,1 MUSGRAVE STREET,CLONCURRY,4824,NO,,
PUBLIC,NSW,COBAR DISTRICT HOSPITAL,0010950B,LERIDA ROAD,COBAR,2835,NO,,
PUBLIC,VIC,COBRAM DISTRICT HEALTH,0030250Y,24-32 BROADWAY STREET,COBRAM,3644,NO,,
PRIVATE,VIC,COBURG ENDOSCOPY CENTRE,0043640K,15 MUNRO STREET,COBURG,3058,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,COFFS DAY HOSPITAL,0027530W,69 ALBANY STREET,COFFS HARBOUR,2450,YES,01-02-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,COFFS HARBOUR BASE HOSPITAL,0010960A,345 PACIFIC HIGHWAY,COFFS HARBOUR,2450,NO,,
PUBLIC,VIC,COHUNA DISTRICT HOSPITAL,0030260X,144-158 KING GEORGE STREET,COHUNA,3568,NO,,
PUBLIC,VIC,COLAC AREA HEALTH,0030270W,2-28 CONNOR STREET,COLAC,3250,NO,,
PUBLIC,NSW,COLEDALE HOSPITAL,0010970Y,638 LAWRENCE HARGRAVE DRIVE,COLEDALE,2515,NO,,
PUBLIC,NSW,COLLARENEBRI MULTI PURPOSE SERVICE,0010980X,WALGETT STREET,COLLARENEBRI,2833,NO,,
PUBLIC,WA,COLLIE DISTRICT HOSPITAL,0070170A,CNR STEERE & DEAKIN STREETS,COLLIE,6225,NO,,
PUBLIC,QLD,COLLINSVILLE MULTI-PURPOSE HEALTH SERVICE,0050340J,81-91 GARRICK STREET,COLLINSVILLE,4804,NO,,
PRIVATE,WA,CONCEPT DAY HOSPITAL,0075630T,218 NICHOLSON ROAD,SUBIACO,6008,YES,29-05-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,CONCORD REPATRIATION HOSPITAL,0012720A,2 HOSPITAL ROAD,CONCORD,2139,NO,,
PUBLIC,NSW,CONDOBOLIN DISTRICT HOSPITAL,0010990W,MADLINE STREET,CONDOBOLIN,2877,NO,,
PUBLIC,NSW,CONDOBOLIN RETIREMENT VILLAGE,0026480X,MADLINE STREET,CONDOBOLIN,2877,NO,,
PUBLIC,QLD,COOKTOWN HOSPITAL,0050350H,48 HOPE STREET,COOKTOWN,4895,NO,,
PUBLIC,NSW,COOLAH MULTI PURPOSE SERVICE,0011000X,111-135 MARTIN STREET,COOLAH,2843,NO,,
PUBLIC,NSW,COOLAMON-GANMAIN MULTI PURPOSE SERVICE HOSPITAL,0011520W,DR BUCHANAN DRIVE,COOLAMON,2701,NO,,
PRIVATE,NSW,COOLENBERG DAY SURGERY,0027180A,60 LAKE ROAD,PORT MACQUARIE,2444,YES,26-06-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,COOMA HOSPITAL & HEALTH SERVICE,0011010W,2 BENT STREET,COOMA,2630,NO,,
PUBLIC,NSW,COONABARABRAN DISTRICT HOSPITAL,0011020T,101-103 EDWARDS STREET,COONABARABRAN,2357,NO,,
PUBLIC,NSW,COONAMBLE HEALTH SERVICE,0011050J,150 CASTLEREAGH STREET,COONAMBLE,2829,NO,,
PUBLIC,NSW,COOTAMUNDRA DISTRICT HOSPITAL,0011070F,120 MACKAY STREET,COOTAMUNDRA,2590,NO,,
PUBLIC,NSW,COROWA HEALTH SERVICE,0011080B,74 GUY STREET,COROWA,2646,NO,,
PUBLIC,WA,CORRIGIN HOSPITAL,0070190X,49 KIRKWOOD STREET,CORRIGIN,6375,NO,,
PRIVATE,VIC,CORYMBIA DAY HOSPITAL,0043940Y,92 DAVID STREET,DANDENONG,3175,YES,08-10-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,COSMOS COSMETIC DAY SURGERY,0027550L,"LEVEL 1, 164 BELMORE ROAD",RANDWICK,2031,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,COSMOS COSMETIC DAY SURGERY ADELAIDE,0067290X,163 ARCHER STREET,NORTH ADELAIDE,5006,YES,01-07-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,COWRA DISTRICT HOSPITAL,0011090A,64 LIVERPOOL STREET,COWRA,2794,NO,,
PRIVATE,WA,CRAIGIE DAY SURGERY,0077220W,"SUITE 2, 9 PERILYA ROAD",CRAIGIE,6025,YES,30-11-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,CRAIGIEBURN HEALTH SERVICE,0031980A,274-304 CRAIGIEBURN ROAD,CRAIGIEBURN,3064,NO,,
PUBLIC,VIC,CRANBOURNE INTEGRATED CARE CENTRE,0032030W,140-154 SLADEN STREET,CRANBOURNE,3977,NO,,
PUBLIC,NSW,CROOKWELL DISTRICT HOSPITAL,0011100T,17 KIALLA ROAD,CROOKWELL,2583,NO,,
PRIVATE,NSW,CROWS NEST DAY HOSPITAL,0027270Y,"LEVEL 1, 22-26 CLARKE STREET",CROWS NEST,2065,YES,11-01-24,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,SA,CRYSTAL BROOK CAMPUS,0060160X,EDMUND TERRACE,CRYSTAL BROOK,5523,NO,,
PUBLIC,NSW,CULCAIRN MULTI PURPOSE SERVICE HOSPITAL,0011120K,51-55 BALFOUR STREET,CULCAIRN,2660,NO,,
PUBLIC,NSW,CUMBERLAND HOSPITAL,0012880H,1-11 HAINSWORTH STREET,WESTMEAD,2145,NO,,
PUBLIC,SA,CUMMINS HOSPITAL,0060170W,19-21 TUMBY BAY ROAD,CUMMINS,5631,NO,,
PUBLIC,WA,CUNDERDIN HEALTH SERVICE,0070220H,55 LUNDY AVENUE ,CUNDERDIN,6407,NO,,
PUBLIC,QLD,CUNNAMULLA HOSPITAL,0050390Y,56 WICKS STREET,CUNNAMULLA,4490,NO,,
PRIVATE,QLD,CURRUMBIN CLINIC,0055760T,37 BILINGA STREET,CURRUMBIN,4223,YES,08-01-23,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PUBLIC,QLD,DALBY HOSPITAL HEALTH SERVICE,0050400L,HOSPITAL ROAD,DALBY,4405,NO,,
PUBLIC,WA,DALWALLINU HOSPITAL,0070230F,MYERS STREET,DALWALLINU,6609,NO,,
PRIVATE,VIC,DANDENONG EYE CLINIC & DAY SURGERY CENTRE,0657171T,1-3 FALKINER CRESCENT,DANDENONG,3175,YES,01-06-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,DANDENONG HOSPITAL,0030310B,105-135 DAVID STREET,DANDENONG,3175,NO,,
PRIVATE,VIC,DAREBIN ENDOSCOPY SERVICES,0043600X,42 STATION STREET,FAIRFIELD,3078,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NT,DARWIN DAY SURGERY,0098010J,LEVEL 1/7B GSELL STREET,WANGURI,810,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NT,DARWIN PRIVATE HOSPITAL,0097660F,ROCKLANDS DRIVE,TIWI,810,YES,20-01-24,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,NSW,DAVID BERRY HOSPITAL,0011130J,85 TANNERY ROAD,BERRY,2535,NO,,
PRIVATE,VIC,DAYHAB,0037000F,"51 NORFOLK STREET & 19B HAMPSHIRE ROAD (AND 128 RAILWAY AVENUE, RINGWOOD EAST 3135)",GLEN WAVERLEY,3150,YES,12-08-22,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,NSW,DEE WHY ENDOSCOPY UNIT,0666401J,LEVEL 4 SUITE 4402 DEE WHY GRAND 834 PITTWATER ROAD,DEE WHY,2099,YES,09-07-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,DELEGATE MULTI PURPOSE SERVICE,0011140H,15 CRAIGIE STREET,DELEGATE,2633,NO,,
PRIVATE,NSW,DELMAR PRIVATE HOSPITAL,0015380B,58 QUIRK STREET,DEE WHY,2099,YES,04-07-22,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PRIVATE,VIC,DELMONT PRIVATE HOSPITAL,0036210B,298 WARRIGAL ROAD,GLEN IRIS,3146,YES,11-02-21,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PUBLIC,TAS,DELORAINE DISTRICT HOSPITAL AND COMMUNITY HEALTH SERVICES,0077630Y,EAST BARRACK STREET,DELORAINE,7304,NO,,
PUBLIC,NSW,DENILIQUIN HOSPITAL,0011150F,411 CHARLOTTE STREET,DENILIQUIN,2710,NO,,
PUBLIC,NSW,DENMAN MULTI PURPOSE SERVICE,0010810T,51-53 OGILVIE STREET,DENMAN,2328,NO,,
PUBLIC,WA,DENMARK HOSPITAL,0070240B,STRICKLAND STREET,DENMARK,6333,NO,,
PUBLIC,VIC,DENTAL HEALTH SERVICES VICTORIA,0031530F,720 SWANSTON STREET,CARLTON,3053,NO,,
PUBLIC,WA,DERBY HOSPITAL,0070250A,CLARENDON STREET,DERBY,6728,NO,,
PRIVATE,TAS,DEVONPORT EYE HOSPITAL,0087040F,62 OLDAKER STREET,DEVONPORT,7310,YES,08-02-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,DEXTRA SURGICAL NORWOOD,0067100X,83 KENSINGTON ROAD,NORWOOD,5067,YES,22-10-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,DIAGNOSTIC ENDOSCOPY CENTRE,0657131A,601/438 VICTORIA STREET,DARLINGHURST,2010,YES,20-09-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,DIAMOND VALLEY RENAL CARE CENTRE,0035140J,15 GRIMSHAW STREET,GREENSBOROUGH,3088,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,QLD,DIRRANBANDI HOSPITAL,0050410K,CNR JANE & COWILDI STREETS,DIRRANBANDI,4486,NO,,
PUBLIC,VIC,DJERRIWARRH HEALTH SERVICE - BACCHUS MARSH,0030070B,29-35 GRANT STREET,BACCHUS MARSH,3340,NO,,
PUBLIC,VIC,DJERRIWARRH HEALTH SERVICES - MELTON HEALTH,0031970B,195-209 BARRIES ROAD,MELTON WEST,3337,NO,,
PUBLIC,WA,DONGARA MULTI-PURPOSE HEALTH CENTRE,0071570Y,48 BLENHEIM ROAD,DONGARA,6525,NO,,
PUBLIC,WA,DONNYBROOK HOSPITAL,0070260Y,BENTLEY STREET,DONNYBROOK,6239,NO,,
PRIVATE,VIC,DONVALE REHABILITATION HOSPITAL,0036190L,1119-1121 DONCASTER ROAD,DONVALE,3111,YES,22-10-23,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
